"source","id_str","text","created_at","retweet_count","in_reply_to_user_id_str","favorite_count","is_retweet"
"Media Studio","920716270395371521","It was an honor to welcome Republican and Democratic members of the Senate Finance Committee to the @WhiteHouse today. #TaxReform https://t.co/ge4Xic9fId","Wed Oct 18 18:20:39 +0000 2017",7511,NA,36710,FALSE
"Twitter for iPhone","920695565578592256","Our hearts are with all affected by the wildfires in California. God bless our brave First Responders and @FEMA team. We support you! https://t.co/YaoPbaVI5L","Wed Oct 18 16:58:23 +0000 2017",9044,NA,44208,FALSE
"Media Studio","920667567030710272","The current tax code is a burden on American taxpayers &amp; harmful to job-creators. Americans need #TaxReform! More: https://t.co/qXyiYiFWCO https://t.co/NGIjJOc3TP","Wed Oct 18 15:07:07 +0000 2017",10590,NA,43710,FALSE
"Twitter for iPhone","920645935981613057","I am supportive of Lamar as a person &amp; also of the process, but I can never support bailing out ins co's who have made a fortune w/ O'Care.","Wed Oct 18 13:41:10 +0000 2017",13050,NA,60949,FALSE
"Twitter for iPhone","920611770775064576","Democrat Congresswoman totally fabricated what I said to the wife of a soldier who died in action (and I have proof). Sad!","Wed Oct 18 11:25:24 +0000 2017",25506,NA,99764,FALSE
"Twitter for iPhone","920606910109356032","The NFL has decided that it will not force players to stand for the playing of our National Anthem. Total disrespect for our great country!","Wed Oct 18 11:06:06 +0000 2017",24511,NA,101633,FALSE
"Twitter for iPhone","920604520572424193","As it has turned out, James Comey lied and leaked and totally protected Hillary Clinton. He was the best thing that ever happened to her!","Wed Oct 18 10:56:36 +0000 2017",25384,NA,94520,FALSE
"Twitter for iPhone","920599916371693568","The Democrats will only vote for Tax Increases. Hopefully, all Senate Republicans will vote for the largest Tax Cuts in U.S. history.","Wed Oct 18 10:38:18 +0000 2017",14109,NA,60724,FALSE
"Twitter for iPhone","920597192666157057","...people not interviewed, including Clinton herself. Comey stated under oath that he didn't do this-obviously a fix? Where is Justice Dept?","Wed Oct 18 10:27:29 +0000 2017",19842,NA,73678,FALSE
"Twitter for iPhone","920595564064100352","Wow, FBI confirms report that James Comey drafted letter exonerating  Crooked Hillary Clinton long before investigation was complete. Many..","Wed Oct 18 10:21:00 +0000 2017",24369,NA,86318,FALSE
