"word","2013-2016","year","proportion"
"account",4.05087904075184e-05,"2017-2020",7.87670924590636e-05
"accounta",NA,"2017-2020",2.25048835597325e-06
"accountabi",NA,"2017-2020",2.25048835597325e-06
"accountability",6.75146506791974e-06,"2017-2020",3.82583020515452e-05
"accountable",1.12524417798662e-05,"2017-2020",3.60078136955719e-05
"accounted",NA,"2017-2020",4.50097671194649e-06
"accounting",NA,"2017-2020",2.25048835597325e-06
"accounts",1.35029301358395e-05,"2017-2020",2.25048835597325e-05
"accountsrs",2.25048835597325e-06,"2017-2020",NA
"accredited",2.25048835597325e-06,"2017-2020",NA
"accronin",4.50097671194649e-06,"2017-2020",NA
"accrued",2.25048835597325e-06,"2017-2020",NA
"acct",4.50097671194649e-06,"2017-2020",NA
"accumulate",2.25048835597325e-06,"2017-2020",NA
"accumulated",NA,"2017-2020",1.12524417798662e-05
"accumulating",2.25048835597325e-06,"2017-2020",NA
"accumulation",NA,"2017-2020",4.50097671194649e-06
"accuracy",2.25048835597325e-06,"2017-2020",1.12524417798662e-05
"accurate",2.25048835597325e-05,"2017-2020",5.17612321873847e-05
"accurately",9.00195342389298e-06,"2017-2020",3.37573253395987e-05
"accus",NA,"2017-2020",2.25048835597325e-06
"accusation",NA,"2017-2020",9.00195342389298e-06
"accusations",NA,"2017-2020",3.15068369836254e-05
"accuse",NA,"2017-2020",2.02543952037592e-05
"accused",6.75146506791974e-06,"2017-2020",3.82583020515452e-05
"accuser",4.50097671194649e-06,"2017-2020",1.35029301358395e-05
"accuses",NA,"2017-2020",1.57534184918127e-05
"accusing",NA,"2017-2020",1.35029301358395e-05
"acdinner",2.25048835597325e-06,"2017-2020",NA
"acdkbzdcq",2.25048835597325e-06,"2017-2020",NA
"ace",4.50097671194649e-06,"2017-2020",NA
"acebuey",2.25048835597325e-06,"2017-2020",NA
"aced",NA,"2017-2020",2.25048835597325e-06
"aceman",2.25048835597325e-06,"2017-2020",NA
"aceofspadeshq",2.25048835597325e-06,"2017-2020",NA
"acewill",2.25048835597325e-06,"2017-2020",NA
"acf",2.25048835597325e-06,"2017-2020",NA
"acffoeql",NA,"2017-2020",2.25048835597325e-06
"acg",2.25048835597325e-06,"2017-2020",NA
"acgniznh",NA,"2017-2020",2.25048835597325e-06
"acheson",2.25048835597325e-06,"2017-2020",NA
"achh",2.25048835597325e-06,"2017-2020",NA
"achieve",3.37573253395987e-05,"2017-2020",3.37573253395987e-05
"achieved",6.75146506791974e-06,"2017-2020",5.17612321873847e-05
"achievement",4.50097671194649e-05,"2017-2020",3.60078136955719e-05
"achievements",1.12524417798662e-05,"2017-2020",1.8003906847786e-05
"achievers",3.15068369836254e-05,"2017-2020",NA
"achieving",6.75146506791974e-06,"2017-2020",1.57534184918127e-05
"achilarre",2.25048835597325e-06,"2017-2020",NA
"achockeyhistory",2.25048835597325e-06,"2017-2020",NA
"acid",2.25048835597325e-06,"2017-2020",2.47553719157057e-05
"acing",2.25048835597325e-06,"2017-2020",NA
"acj",2.25048835597325e-06,"2017-2020",NA
"acjokrlezy",2.25048835597325e-06,"2017-2020",NA
"acknowledge",1.12524417798662e-05,"2017-2020",2.47553719157057e-05
"acknowledged",NA,"2017-2020",1.35029301358395e-05
"acknowledges",NA,"2017-2020",2.25048835597325e-06
"acknowledging",1.35029301358395e-05,"2017-2020",1.12524417798662e-05
"acknowledgment",NA,"2017-2020",2.25048835597325e-06
"acliffe",2.25048835597325e-06,"2017-2020",NA
"aclj",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"aclrecoveryclub",2.25048835597325e-06,"2017-2020",NA
"aclu",NA,"2017-2020",4.50097671194649e-06
"aclutter",2.25048835597325e-06,"2017-2020",NA
"acmarcuswenzel",2.25048835597325e-06,"2017-2020",NA
"acmeansbusiness",2.25048835597325e-06,"2017-2020",NA
"acn",4.50097671194649e-06,"2017-2020",NA
"acnnews",4.50097671194649e-06,"2017-2020",NA
"acosta",NA,"2017-2020",1.35029301358395e-05
"acq",NA,"2017-2020",2.25048835597325e-06
"acqui",NA,"2017-2020",2.25048835597325e-06
"acquire",1.12524417798662e-05,"2017-2020",2.25048835597325e-06
"acquiring",2.25048835597325e-06,"2017-2020",2.25048835597325e-06
"acquisition",4.50097671194649e-06,"2017-2020",2.25048835597325e-06
"acquisitions",NA,"2017-2020",2.25048835597325e-06
"acquit",NA,"2017-2020",6.75146506791974e-06
"acquittal",NA,"2017-2020",2.25048835597325e-06
"acquitted",2.25048835597325e-06,"2017-2020",1.12524417798662e-05
"acquittedforever",NA,"2017-2020",4.50097671194649e-06
"acre",6.75146506791974e-06,"2017-2020",2.25048835597325e-06
"acres",4.72602554754382e-05,"2017-2020",6.75146506791974e-06
"acrjeskua",NA,"2017-2020",2.25048835597325e-06
"acrobatics",2.25048835597325e-06,"2017-2020",NA
"acros",NA,"2017-2020",4.50097671194649e-06
"act",0.000130528324646448,"2017-2020",0.00051986281022982
"actbrigitte",NA,"2017-2020",2.7005860271679e-05
"acted",1.57534184918127e-05,"2017-2020",2.92563486276522e-05
"actforamerica",NA,"2017-2020",2.02543952037592e-05
"acting",1.8003906847786e-05,"2017-2020",0.000126027347934502
"actingmeek",2.25048835597325e-06,"2017-2020",NA
"action",0.000148532231494234,"2017-2020",0.000285812021208602
"actions",2.02543952037592e-05,"2017-2020",0.000108023441086716
"activate",NA,"2017-2020",2.25048835597325e-06
"activated",NA,"2017-2020",6.75146506791974e-06
"activation",2.25048835597325e-06,"2017-2020",NA
"active",9.00195342389298e-06,"2017-2020",2.7005860271679e-05
"activeduty",NA,"2017-2020",2.25048835597325e-06
"actively",2.25048835597325e-06,"2017-2020",9.00195342389298e-06
"activism",NA,"2017-2020",6.75146506791974e-06
"activist",4.50097671194649e-06,"2017-2020",1.12524417798662e-05
"activists",2.25048835597325e-06,"2017-2020",2.92563486276522e-05
"activitie",NA,"2017-2020",2.25048835597325e-06
"activities",6.75146506791974e-06,"2017-2020",3.15068369836254e-05
"activity",4.50097671194649e-06,"2017-2020",2.02543952037592e-05
"actme",NA,"2017-2020",2.25048835597325e-06
"actoninstitute",2.25048835597325e-06,"2017-2020",NA
"actor",1.57534184918127e-05,"2017-2020",6.75146506791974e-06
"actors",2.25048835597325e-06,"2017-2020",1.8003906847786e-05
